index,exact_value,exact_gap,exact_status,exact_computing_time,exact_max_time,exact_cpu,exact_max_memory,gns_value,gns_computing_time,gns_device_used,error
153,6690.0,0.54,feasible,360.04,6,32,118,6234.6,5.12,mps,-6.81
190,3560.28,0.61,feasible,360.02,6,32,118,4739.96,3.34,mps,33.13
184,3781.2,0.78,feasible,360.11,6,32,118,4511.16,3.5,mps,19.3
185,7836.8,0.39,feasible,360.03,6,32,118,11593.39921875,3.66,mps,47.94
191,3623.2,0.59,feasible,360.02,6,32,118,4309.02,3.29,mps,18.93
152,8477.62,0.35,feasible,360.02,6,32,118,6104.72,3.22,mps,-27.99
178,7581.28,0.39,feasible,360.02,6,32,118,5258.0,4.32,mps,-30.64
187,2579.73,0.74,feasible,360.02,6,32,118,3730.29,3.5,mps,44.6
193,3064.56,0.65,feasible,360.02,6,32,118,4194.96,3.37,mps,36.89
192,9437.8,0.45,feasible,360.02,6,32,118,6035.2,3.9,mps,-36.05
186,6380.32,0.4,feasible,360.02,6,32,118,5503.52,3.51,mps,-13.74
179,6122.88,0.4,feasible,360.03,6,32,118,5516.76,4.07,mps,-9.9
151,6447.5,0.55,feasible,360.02,6,32,118,5162.35,4.12,mps,-19.93
169,11448.51,0.17,feasible,360.03,6,32,118,9393.86,5.82,mps,-17.95
155,14488.8,0.7,feasible,360.03,6,32,118,14339.16,5.73,mps,-1.03
182,5001.13,0.56,feasible,360.11,6,32,118,5173.06,5.28,mps,3.44
196,8573.24,0.33,feasible,360.03,6,32,118,8114.98,5.2,mps,-5.35
197,6689.52,0.47,feasible,360.18,6,32,118,4927.48,3.52,mps,-26.34
183,5396.31,0.47,feasible,360.02,6,32,118,6178.22,3.91,mps,14.49
154,8656.11,0.27,feasible,360.23,6,32,118,6305.5,3.33,mps,-27.16
168,6747.92,0.48,feasible,360.02,6,32,118,9368.64,5.1,mps,38.84
156,132879.55,0.97,feasible,360.03,6,32,118,7637.885,7.21,mps,-94.25
195,7140.54,0.21,feasible,360.02,6,32,118,8902.3,4.75,mps,24.67
181,8206.9,0.28,feasible,360.02,6,32,118,6738.5,4.64,mps,-17.89
180,6519.0,0.38,feasible,360.02,6,32,118,6520.33349609375,4.34,mps,0.02
194,7264.05,0.37,feasible,360.02,6,32,118,6878.55,3.76,mps,-5.31
157,8745.0,0.25,feasible,360.02,6,32,118,6503.28,3.22,mps,-25.63
172,7872.96,0.33,feasible,360.02,6,32,118,6078.12,3.32,mps,-22.8
166,3610.4,0.61,feasible,360.02,6,32,118,4836.26669921875,3.29,mps,33.95
199,5888.76,0.53,feasible,360.04,6,32,118,7513.02,5.87,mps,27.58
198,92288.67,0.95,feasible,360.03,6,32,118,14343.98,4.71,mps,-84.46
167,5626.65,0.52,feasible,360.05,6,32,118,4885.5,3.67,mps,-13.17
173,5646.24,0.38,feasible,360.02,6,32,118,5390.64,3.73,mps,-4.53
165,7340.25,0.26,feasible,360.02,6,32,118,9032.5,4.85,mps,23.05
171,8534.54,0.2,feasible,360.02,6,32,118,13228.2,5.47,mps,55.0
159,6800.0,0.25,feasible,360.02,6,32,118,4979.1,2.92,mps,-26.78
158,5532.5,0.39,feasible,360.01,6,32,118,5902.5,5.0,mps,6.69
170,8661.71,0.42,feasible,360.04,6,32,118,8639.13,4.13,mps,-0.26
164,8669.6,0.27,feasible,360.02,6,32,118,10399.4,5.54,mps,19.95
160,3128.9,0.65,feasible,360.02,6,32,118,5029.36,4.16,mps,60.74
174,2302.73,0.72,feasible,360.02,6,32,118,3623.56,5.26,mps,57.36
175,9786.6,0.35,feasible,360.01,6,32,118,5719.9,5.01,mps,-41.55
161,10078.48,0.21,feasible,360.02,6,32,118,8250.6,6.77,mps,-18.14
177,8468.0,0.54,feasible,360.08,6,32,118,5175.36,3.77,mps,-38.88
163,6879.5,0.48,feasible,360.02,6,32,118,4754.84,2.92,mps,-30.88
188,3074.2,0.72,feasible,360.02,6,32,118,3891.075,4.05,mps,26.57
200,2898.2,0.78,feasible,360.02,6,32,118,4065.4,4.12,mps,40.27
189,7174.16,0.41,feasible,360.04,6,32,118,6341.34,4.05,mps,-11.61
162,7282.98,0.3,feasible,360.02,6,32,118,5384.64,3.77,mps,-26.07
176,5441.42,0.49,feasible,360.02,6,32,118,5656.67,4.07,mps,3.96
